Year,rice_area_kharif,rice_yield_kharif,rice_area_rabi,rice_yield_rabi,cereals_area_kharif,cereals_yield_kharif,cereals_area_rabi,cereals_yield_rabi,grain_area_kharif,grain_yield_kharif,grain_area_rabi,grain_yield_rabi,intensity,rain_kharif,rain_rabi,Mean_Temp_Kharif,Mean_Temp_Rabi,calamity_severity
2010.0,83.39,575.0,0.53,1698.0,87.42,691.0,1.4,1829.0,144.88,623.0,45.87,477.0,176.0,156.06,14.18,33.07,30.33,6.5
2011.0,78.36,980.0,0.75,1960.0,82.89,1000.0,1.57,1955.0,141.53,804.0,52.23,511.0,181.0,234.68,7.74,32.48,30.19,4.5
2012.0,83.22,2081.0,0.74,1921.0,87.76,2049.0,1.47,1884.0,145.25,1443.0,45.9,497.0,168.0,242.82,31.5,32.91,29.77,4.0
2013.0,77.84,1929.0,0.29,2028.0,83.2,1927.0,1.02,1882.0,140.03,1351.0,47.28,486.0,168.0,270.04,4.84,32.13,29.81,9.0
2014.0,89.93,2487.0,0.63,2217.0,56.96,508.0,47.0,454.0,152.16,1726.0,48.12,491.0,169.0,284.32,11.2,32.81,29.45,8.5
2015.0,79.47,788.0,0.28,1516.0,85.9,872.0,0.97,1794.0,140.37,733.0,45.51,481.0,159.0,189.08,10.14,32.81,29.45,5.5
2016.0,78.6,2339.0,0.24,2444.0,83.93,2320.0,1.34,3216.0,141.5,1587.0,48.27,48.27,156.0,205.04,14.62,32.59,30.58,5.0
2017.0,91.57,1357.0,0.1,2427.0,96.55,136.31,0.95,3337.0,152.13,1085.0,46.65,561.0,157.0,176.08,9.54,32.89,29.96,5.5
2018.0,68.18,2665.0,0.23,2982.0,72.73,192.66,1.59,3547.0,130.84,1703.0,49.26,598.0,169.0,233.02,10.76,32.74,30.27,7.5
2019.0,62.03,3108.0,0.03,3000.0,66.56,3086.0,1.11,3279.0,124.99,1901.0,51.07,564.0,179.0,219.36,11.16,32.67,29.48,9.5
