Year,rice_area_kharif,rice_yield_kharif,rice_area_rabi,rice_yield_rabi,cereals_area_kharif,cereals_yield_kharif,cereals_area_rabi,cereals_yield_rabi,grain_area_kharif,grain_yield_kharif,grain_area_rabi,grain_yield_rabi,intensity,rain_kharif,rain_rabi,Mean_Temp_Kharif,Mean_Temp_Rabi,calamity_severity
2010.0,206.14,1718.0,33.47,2680.0,206.45,1717.0,34.26,2646.0,206.93,1714.0,55.9,1827.0,154.0,205.54,6.92,33.17,30.13,6.5
2011.0,211.82,2043.0,23.68,3092.0,212.46,2044.0,24.77,3040.0,212.5,2043.0,46.95,1797.0,160.0,265.32,3.86,32.39,29.86,4.5
2012.0,179.89,1548.0,26.75,3223.0,180.14,1549.0,27.35,3198.0,180.14,1549.0,45.69,2096.0,168.0,159.22,24.56,33.13,29.36,4.0
2013.0,195.43,844.0,30.86,3804.0,195.6,846.0,31.51,3768.0,195.61,846.0,49.26,2575.0,169.0,368.74,1.78,32.12,29.44,9.0
2014.0,180.7,2003.0,38.18,3650.0,0.01,1000.0,17.1,458.0,180.92,2004.0,55.78,2657.0,168.0,319.4,17.1,32.91,29.02,8.5
2015.0,191.81,1474.0,29.02,3209.0,191.93,1474.0,29.4,3194.0,191.94,1474.0,56.57,1881.0,154.0,218.1,15.18,32.91,29.02,5.5
2016.0,190.93,2720.0,30.9,3189.0,191.04,2720.0,31.11,3184.0,191.05,2720.0,53.88,53.88,154.0,252.94,24.22,32.62,30.26,5.0
2017.0,185.4,2175.0,26.49,3409.0,185.43,403.36,26.7,3399.0,185.44,2175.0,52.5,1977.0,156.0,241.68,31.52,32.88,29.56,5.5
2018.0,182.82,2473.0,38.79,3492.0,182.85,452.25,38.99,3486.0,182.85,2473.0,61.72,2392.0,161.0,304.06,2.24,32.76,29.85,7.5
2019.0,162.38,2259.0,43.71,3409.0,162.41,2259.0,43.96,5567.0,162.41,2259.0,66.4,2430.0,167.0,253.98,30.66,32.76,28.84,9.5
