Year,rice_area_kharif,rice_yield_kharif,rice_area_rabi,rice_yield_rabi,cereals_area_kharif,cereals_yield_kharif,cereals_area_rabi,cereals_yield_rabi,grain_area_kharif,grain_yield_kharif,grain_area_rabi,grain_yield_rabi,intensity,rain_kharif,rain_rabi,Mean_Temp_Kharif,Mean_Temp_Rabi,calamity_severity
2010.0,235.53,1798.0,67.63,4167.0,236.65,1807.0,68.69,4126.0,298.8,1505.0,85.72,3420.0,151.0,203.14,10.16,33.21,30.71,6.5
2011.0,234.79,1655.0,70.54,3829.0,235.65,1654.0,71.55,3798.0,300.68,1377.0,88.38,3182.0,153.0,235.86,0.0,32.59,30.85,4.5
2012.0,232.67,2953.0,65.38,4057.0,234.38,2943.0,66.84,4007.0,300.44,2399.0,83.25,3326.0,137.0,283.42,9.42,32.51,30.49,4.0
2013.0,241.43,1705.0,84.1,3908.0,243.03,1706.0,85.15,3881.0,307.23,1444.0,103.19,3300.0,142.0,236.02,4.52,31.97,30.37,9.0
2014.0,230.64,2578.0,75.84,3994.0,0.0,0.0,18.32,561.0,294.27,2126.0,94.84,3314.0,143.0,310.9,11.36,32.8,30.02,8.5
2015.0,233.94,1243.0,73.43,4095.0,235.86,1249.0,73.84,4081.0,298.74,1076.0,98.74,3187.0,140.0,182.0,3.9,32.8,30.02,5.5
2016.0,217.76,1883.0,61.22,4409.0,219.77,1888.0,61.54,4397.0,283.44,1564.0,83.92,83.92,131.0,195.46,6.6,32.71,31.47,5.0
2017.0,233.31,446.0,64.05,3246.0,235.31,109.01,64.48,3239.0,298.93,464.0,89.78,2476.0,138.0,189.46,3.98,32.92,31.11,5.5
2018.0,235.03,1488.0,69.78,3578.0,236.78,353.77,70.14,3571.0,272.88,1359.0,87.18,2978.0,140.0,239.12,16.6,32.66,31.24,7.5
2019.0,229.6,1768.0,69.61,2530.0,231.83,1772.0,70.2,2532.0,262.54,1621.0,86.03,2174.0,141.0,298.24,11.28,32.51,30.46,9.5
