Year,rice_area_kharif,rice_yield_kharif,rice_area_rabi,rice_yield_rabi,cereals_area_kharif,cereals_yield_kharif,cereals_area_rabi,cereals_yield_rabi,grain_area_kharif,grain_yield_kharif,grain_area_rabi,grain_yield_rabi,intensity,rain_kharif,rain_rabi,Mean_Temp_Kharif,Mean_Temp_Rabi,calamity_severity
2010.0,155.6,1858.0,2.57,1658.0,155.64,1857.0,3.54,1630.0,155.68,1857.0,18.92,747.0,137.0,221.72,7.18,33.07,30.33,6.5
2011.0,167.96,1660.0,6.19,1819.0,168.0,1660.0,6.75,1819.0,168.04,1660.0,25.27,861.0,154.0,258.82,3.7,32.48,30.19,4.5
2012.0,164.58,2126.0,2.9,1778.0,164.58,2126.0,3.29,1754.0,164.58,2126.0,14.61,776.0,135.0,149.36,31.42,32.91,29.77,4.0
2013.0,165.31,1448.0,3.1,2432.0,165.35,1448.0,3.37,2368.0,165.35,1448.0,26.24,722.0,139.0,307.66,4.92,32.13,29.81,9.0
2014.0,158.17,1405.0,5.8,1865.0,62.07,455.0,15.83,483.0,158.21,1405.0,21.87,862.0,140.0,231.36,15.5,32.81,29.45,8.5
2015.0,160.32,2511.0,2.38,2190.0,160.36,2511.0,2.48,2169.0,160.36,2511.0,11.56,852.0,129.0,184.32,10.0,32.81,29.45,5.5
2016.0,155.52,3103.0,0.43,2926.0,155.63,3102.0,0.64,2672.0,155.63,3102.0,13.27,13.27,128.0,231.56,22.24,32.59,30.58,5.0
2017.0,156.75,1936.0,1.51,2601.0,156.81,303.6,1.73,2538.0,156.81,1936.0,18.23,703.0,124.0,204.58,24.82,32.89,29.96,5.5
2018.0,149.4,1811.0,1.71,2145.0,149.45,270.69,1.81,2144.0,149.45,1811.0,15.97,697.0,123.0,305.82,0.66,32.74,30.27,7.5
2019.0,154.43,1782.0,0.93,2796.0,154.48,1783.0,1.04,2798.0,154.48,1783.0,17.29,650.0,126.0,251.88,23.54,32.67,29.48,9.5
