Year,rice_area_kharif,rice_yield_kharif,rice_area_rabi,rice_yield_rabi,cereals_area_kharif,cereals_yield_kharif,cereals_area_rabi,cereals_yield_rabi,grain_area_kharif,grain_yield_kharif,grain_area_rabi,grain_yield_rabi,intensity,rain_kharif,rain_rabi,Mean_Temp_Kharif,Mean_Temp_Rabi,calamity_severity
2010.0,209.4,1891.0,3.27,2419.0,216.5,1887.0,5.6,2057.0,292.2,1534.0,75.89,530.0,144.0,202.82,10.86,33.21,30.71,6.5
2011.0,170.4,386.0,4.29,2193.0,177.28,439.0,6.14,2031.0,254.95,466.0,72.95,557.0,134.0,214.74,2.68,32.59,30.85,4.5
2012.0,194.59,3200.0,3.42,2910.0,201.48,3153.0,4.93,2639.0,277.92,2430.0,81.56,596.0,167.0,243.68,6.76,32.51,30.49,4.0
2013.0,200.3,3192.0,3.86,3181.0,207.61,3155.0,5.04,2927.0,281.38,2464.0,81.93,617.0,168.0,268.54,1.44,31.97,30.37,9.0
2014.0,203.18,3119.0,2.64,2718.0,75.92,516.0,77.33,467.0,285.23,2404.0,81.01,562.0,163.0,243.48,5.38,32.8,30.02,8.5
2015.0,190.83,931.0,1.39,2182.0,197.06,967.0,2.1,2167.0,273.79,837.0,51.51,552.0,142.0,183.16,5.04,32.8,30.02,5.5
2016.0,195.87,2204.0,1.77,2738.0,203.18,2207.0,2.48,2681.0,280.43,1741.0,79.91,79.91,152.0,201.34,3.44,32.71,31.47,5.0
2017.0,155.24,777.0,1.34,2481.0,162.81,139.27,1.89,2635.0,236.39,751.0,75.59,547.0,141.0,164.9,0.88,32.92,31.11,5.5
2018.0,152.69,1412.0,0.39,2539.0,159.54,232.02,0.93,2946.0,226.26,1194.0,75.56,525.0,140.0,203.94,11.48,32.66,31.24,7.5
2019.0,172.2,2183.0,2.24,3107.0,179.41,2203.0,2.82,3160.0,241.69,1787.0,82.63,591.0,140.0,298.26,7.42,32.51,30.46,9.5
