Year,rice_area_kharif,rice_yield_kharif,rice_area_rabi,rice_yield_rabi,cereals_area_kharif,cereals_yield_kharif,cereals_area_rabi,cereals_yield_rabi,grain_area_kharif,grain_yield_kharif,grain_area_rabi,grain_yield_rabi,intensity,rain_kharif,rain_rabi,Mean_Temp_Kharif,Mean_Temp_Rabi,calamity_severity
2010.0,63.77,1220.0,0.61,1738.0,64.99,1222.0,1.3,1523.0,79.27,1102.0,24.45,528.0,168.0,192.64,9.48,33.06,30.63,6.5
2011.0,63.75,1193.0,0.79,1278.0,64.98,1195.0,1.51,1689.0,78.89,1084.0,24.6,524.0,176.0,234.58,1.62,32.56,30.73,4.5
2012.0,67.28,2571.0,1.2,2226.0,68.27,2553.0,1.69,2089.0,81.96,2221.0,25.03,580.0,164.0,238.64,5.14,32.5,30.52,4.0
2013.0,65.98,1792.0,2.02,2156.0,66.51,1790.0,2.37,2101.0,80.46,1577.0,25.81,611.0,163.0,230.14,0.0,31.95,30.36,9.0
2014.0,58.38,2297.0,1.1,2467.0,14.02,567.0,23.62,459.0,72.95,1959.0,25.22,573.0,163.0,313.04,0.0,32.68,30.03,8.5
2015.0,59.48,929.0,0.82,2739.0,60.08,936.0,0.91,2637.0,74.33,860.0,27.17,539.0,152.0,196.66,3.68,32.68,30.03,5.5
2016.0,55.12,3090.0,1.51,3424.0,55.74,3079.0,1.72,3273.0,69.66,2572.0,28.26,28.26,154.0,225.34,4.26,32.63,31.34,5.0
2017.0,57.88,1814.0,1.04,3515.0,58.6,106.49,1.34,3366.0,72.78,1580.0,32.14,618.0,160.0,230.34,3.94,32.81,30.78,5.5
2018.0,62.55,2809.0,1.55,3114.0,63.28,177.24,1.8,3083.0,76.63,2426.0,30.11,646.0,156.0,292.16,14.82,32.61,31.15,7.5
2019.0,62.09,2750.0,0.95,2705.0,62.8,2745.0,1.15,2730.0,72.92,2459.0,21.16,622.0,153.0,282.12,12.1,32.54,30.45,9.5
