Year,rice_area_kharif,rice_yield_kharif,rice_area_rabi,rice_yield_rabi,cereals_area_kharif,cereals_yield_kharif,cereals_area_rabi,cereals_yield_rabi,grain_area_kharif,grain_yield_kharif,grain_area_rabi,grain_yield_rabi,intensity,rain_kharif,rain_rabi,Mean_Temp_Kharif,Mean_Temp_Rabi,calamity_severity
2010.0,132.95,1824.0,2.83,2332.0,134.5,1815.0,3.49,2209.0,137.05,1792.0,115.3,507.0,222.0,235.6,11.98,32.96,30.25,6.5
2011.0,134.33,1892.0,4.29,2683.0,135.8,1898.0,4.98,2663.0,138.52,1870.0,116.83,491.0,231.0,253.82,15.8,32.24,30.23,4.5
2012.0,128.22,2927.0,2.02,3010.0,130.17,2917.0,2.69,2874.0,132.83,2868.0,113.32,539.0,193.0,270.64,46.62,32.45,29.86,4.0
2013.0,118.21,1445.0,2.89,2174.0,119.83,1457.0,3.4,2253.0,121.23,1446.0,116.34,537.0,193.0,275.96,0.62,31.76,29.79,9.0
2014.0,121.03,2507.0,1.31,2354.0,1.46,486.0,96.41,488.0,123.15,2481.0,98.22,524.0,193.0,303.28,14.02,32.49,29.41,8.5
2015.0,120.27,2011.0,1.01,2360.0,120.83,2011.0,1.37,2496.0,122.12,1995.0,87.11,519.0,187.0,212.94,8.14,32.49,29.41,5.5
2016.0,117.98,3319.0,1.5,3413.0,118.53,3314.0,1.83,3388.0,119.81,3284.0,85.27,85.27,171.0,243.64,6.48,32.31,30.74,5.0
2017.0,108.66,2197.0,0.35,2813.0,109.21,240.09,0.79,2886.0,110.07,2185.0,86.19,530.0,222.0,258.08,26.28,32.62,30.13,5.5
2018.0,97.06,2691.0,0.78,2799.0,97.55,262.4,1.15,2930.0,98.48,2670.0,84.97,539.0,225.0,326.58,2.94,32.45,30.45,7.5
2019.0,116.96,3291.0,2.05,4195.0,117.42,3288.0,2.35,4055.0,118.42,3265.0,86.59,606.0,206.0,321.7,13.06,32.42,29.75,9.5
