Year,rice_area_kharif,rice_yield_kharif,rice_area_rabi,rice_yield_rabi,cereals_area_kharif,cereals_yield_kharif,cereals_area_rabi,cereals_yield_rabi,grain_area_kharif,grain_yield_kharif,grain_area_rabi,grain_yield_rabi,intensity,rain_kharif,rain_rabi,Mean_Temp_Kharif,Mean_Temp_Rabi,calamity_severity
2010.0,91.87,1396.0,0.45,2111.0,94.58,1393.0,0.83,1964.0,116.78,1219.0,48.03,431.0,180.0,186.6,12.28,32.96,30.25,6.5
2011.0,92.14,2099.0,1.01,2525.0,94.67,2081.0,1.42,2317.0,116.91,1782.0,49.21,464.0,187.0,260.1,8.88,32.24,30.23,4.5
2012.0,83.26,2712.0,0.68,2630.0,85.94,2674.0,1.04,2346.0,107.73,2239.0,49.32,461.0,195.0,243.96,40.5,32.45,29.86,4.0
2013.0,91.81,2659.0,1.35,2829.0,94.52,2631.0,1.75,2589.0,116.35,2231.0,50.46,493.0,195.0,301.88,0.0,31.76,29.79,9.0
2014.0,97.58,3317.0,0.76,2777.0,22.7,484.0,49.54,419.0,122.84,2760.0,50.7,466.0,185.0,247.94,15.2,32.49,29.41,8.5
2015.0,85.74,1595.0,0.03,2407.0,88.35,1599.0,0.38,1947.0,110.53,1376.0,44.52,431.0,173.0,170.14,10.02,32.49,29.41,5.5
2016.0,75.24,2857.0,0.13,2563.0,77.74,2830.0,0.44,2386.0,100.35,2302.0,51.84,51.84,158.0,204.28,17.36,32.31,30.74,5.0
2017.0,62.49,1383.0,0.15,2682.0,64.66,90.81,0.55,2527.0,85.04,1186.0,55.65,509.0,206.0,191.44,19.24,32.62,30.13,5.5
2018.0,88.91,3139.0,1.03,2206.0,91.56,284.4,1.41,2319.0,114.35,2586.0,53.39,546.0,180.0,274.5,6.96,32.45,30.45,7.5
2019.0,80.56,2758.0,0.41,2366.0,83.01,2745.0,0.76,2816.0,93.88,2495.0,48.2,540.0,193.0,246.34,9.62,32.42,29.75,9.5
