Year,rice_area_kharif,rice_yield_kharif,rice_area_rabi,rice_yield_rabi,cereals_area_kharif,cereals_yield_kharif,cereals_area_rabi,cereals_yield_rabi,grain_area_kharif,grain_yield_kharif,grain_area_rabi,grain_yield_rabi,intensity,rain_kharif,rain_rabi,Mean_Temp_Kharif,Mean_Temp_Rabi,calamity_severity
2010.0,87.12,1575.0,0.91,1901.0,87.24,1575.0,1.06,1887.0,87.47,1572.0,55.68,451.0,204.0,198.18,24.38,33.07,30.33,6.5
2011.0,81.25,2433.0,0.29,2724.0,81.39,2431.0,0.4,2575.0,81.59,2427.0,55.58,453.0,204.0,227.02,2.76,32.48,30.19,4.5
2012.0,71.97,2913.0,0.55,3477.0,72.12,2910.0,0.68,3265.0,72.3,2904.0,56.36,492.0,195.0,186.1,25.38,32.91,29.77,4.0
2013.0,80.32,1995.0,0.61,2847.0,80.39,1994.0,0.74,2743.0,80.49,1992.0,56.28,493.0,197.0,233.32,0.1,32.13,29.81,9.0
2014.0,83.88,2157.0,1.42,2621.0,0.15,467.0,55.65,465.0,84.07,2154.0,57.2,523.0,196.0,265.38,5.76,32.81,29.45,8.5
2015.0,79.53,2570.0,0.41,2718.0,79.58,2569.0,0.54,2667.0,79.67,2567.0,60.18,487.0,207.0,200.68,9.88,32.81,29.45,5.5
2016.0,87.73,2982.0,0.14,2886.0,87.79,2981.0,0.27,2815.0,87.89,2978.0,60.34,60.34,211.0,246.62,23.26,32.59,30.58,5.0
2017.0,78.08,1927.0,0.9,2911.0,78.12,150.55,1.13,2858.0,78.2,1926.0,64.93,545.0,221.0,272.66,48.12,32.89,29.96,5.5
2018.0,79.4,2170.0,0.29,1409.0,79.42,172.32,0.39,1897.0,79.5,2168.0,62.62,515.0,211.0,339.66,0.18,32.74,30.27,7.5
2019.0,80.74,2111.0,1.48,1669.0,80.75,2111.0,1.59,1767.0,80.83,2109.0,64.21,527.0,209.0,292.24,14.64,32.67,29.48,9.5
