Year,rice_area_kharif,rice_yield_kharif,rice_area_rabi,rice_yield_rabi,cereals_area_kharif,cereals_yield_kharif,cereals_area_rabi,cereals_yield_rabi,grain_area_kharif,grain_yield_kharif,grain_area_rabi,grain_yield_rabi,intensity,rain_kharif,rain_rabi,Mean_Temp_Kharif,Mean_Temp_Rabi,calamity_severity
2010.0,52.25,606.0,0.47,2362.0,52.96,617.0,1.75,1691.0,65.36,575.0,8.04,690.0,145.0,188.38,7.18,33.2,29.95,6.5
2011.0,38.04,1207.0,0.66,2000.0,39.94,1263.0,1.23,1707.0,54.1,1060.0,10.22,597.0,134.0,269.0,0.0,32.14,30.0,4.5
2012.0,36.8,2681.0,0.48,2320.0,39.3,2660.0,0.71,2225.0,52.76,2108.0,8.9,624.0,145.0,332.7,18.46,32.37,29.32,4.0
2013.0,40.15,1260.0,0.46,3343.0,41.76,1307.0,0.61,2984.0,49.6,1189.0,9.16,658.0,133.0,247.14,1.84,31.69,29.36,9.0
2014.0,69.26,1419.0,0.24,2784.0,10.78,523.0,8.89,499.0,81.75,1324.0,9.33,593.0,135.0,253.12,12.82,32.66,29.01,8.5
2015.0,46.06,939.0,0.07,2321.0,47.54,987.0,0.23,2043.0,55.52,918.0,8.2,527.0,118.0,280.14,9.56,32.66,29.01,5.5
2016.0,46.71,2080.0,0.53,2320.0,47.79,2091.0,0.73,2315.0,54.26,1902.0,9.99,9.99,112.0,209.62,8.08,32.47,30.57,5.0
2017.0,47.62,1586.0,0.59,2385.0,48.6,77.93,0.83,2482.0,54.0,1499.0,12.53,665.0,145.0,262.88,2.42,32.75,30.18,5.5
2018.0,40.78,311.0,0.68,3208.0,42.16,15.57,0.85,3165.0,48.09,394.0,8.12,793.0,138.0,225.14,18.42,32.44,30.33,7.5
2019.0,51.82,3321.0,0.61,4082.0,52.52,3312.0,0.87,3701.0,59.61,2982.0,6.69,945.0,136.0,341.22,11.62,32.45,29.25,9.5
