Year,rice_area_kharif,rice_yield_kharif,rice_area_rabi,rice_yield_rabi,cereals_area_kharif,cereals_yield_kharif,cereals_area_rabi,cereals_yield_rabi,grain_area_kharif,grain_yield_kharif,grain_area_rabi,grain_yield_rabi,intensity,rain_kharif,rain_rabi,Mean_Temp_Kharif,Mean_Temp_Rabi,calamity_severity
2010.0,226.01,2275.0,49.67,2634.0,246.52,2278.0,53.96,2638.0,329.74,1879.0,156.08,1331.0,179.0,277.6,9.06,31.52,30.02,6.5
2011.0,202.33,886.0,12.13,2298.0,220.32,1100.0,14.16,2460.0,304.55,990.0,117.13,646.0,168.0,214.52,3.06,31.41,30.2,4.5
2012.0,210.28,2577.0,47.22,2400.0,231.81,2652.0,50.69,2413.0,314.25,2130.0,156.22,1145.0,183.0,268.3,8.56,31.1,30.14,4.0
2013.0,209.01,2475.0,39.51,2615.0,231.85,2572.0,43.16,2598.0,315.01,2063.0,160.0,1088.0,184.0,350.2,1.5,30.49,29.7,9.0
2014.0,192.82,2221.0,43.77,2805.0,83.34,639.0,119.26,527.0,298.25,1875.0,165.92,1165.0,170.0,307.14,4.26,31.71,29.47,8.5
2015.0,183.03,991.0,15.69,2603.0,205.33,1266.0,16.3,2626.0,300.1,1058.0,114.4,828.0,151.0,243.7,4.18,31.71,29.47,5.5
2016.0,190.85,2341.0,29.95,2628.0,206.41,2400.0,30.82,2677.0,297.22,1859.0,158.45,158.45,166.0,256.96,2.5,31.45,30.87,5.0
2017.0,170.86,2031.0,28.66,2867.0,180.98,375.73,29.16,2888.0,268.11,1606.0,153.76,974.0,163.0,277.98,3.34,31.47,30.45,5.5
2018.0,172.34,2014.0,39.42,2879.0,182.65,378.32,40.11,2884.0,263.39,1638.0,154.3,1133.0,163.0,373.12,15.24,31.34,30.56,7.5
2019.0,178.22,2891.0,34.19,3689.0,191.9,2859.0,35.49,3656.0,256.4,2356.0,154.58,1236.0,164.0,327.86,4.22,31.26,29.82,9.5
