Year,rice_area_kharif,rice_yield_kharif,rice_area_rabi,rice_yield_rabi,cereals_area_kharif,cereals_yield_kharif,cereals_area_rabi,cereals_yield_rabi,grain_area_kharif,grain_yield_kharif,grain_area_rabi,grain_yield_rabi,intensity,rain_kharif,rain_rabi,Mean_Temp_Kharif,Mean_Temp_Rabi,calamity_severity
2010.0,178.38,1052.0,3.19,2320.0,206.45,1139.0,4.87,2109.0,239.56,1071.0,49.58,616.0,157.0,200.56,12.06,33.47,30.77,6.5
2011.0,169.67,1702.0,1.79,2726.0,194.54,1663.0,3.56,2306.0,220.79,1544.0,48.84,545.0,152.0,323.4,8.42,32.72,30.65,4.5
2012.0,167.81,1647.0,2.84,2692.0,194.5,1659.0,4.29,2424.0,228.98,1508.0,46.16,685.0,161.0,207.84,29.36,33.26,30.09,4.0
2013.0,173.44,1539.0,1.93,2962.0,198.31,1646.0,3.3,2500.0,226.21,1523.0,49.39,634.0,161.0,295.56,5.54,32.31,30.14,9.0
2014.0,173.94,2345.0,1.86,2653.0,32.68,635.0,46.71,502.0,227.86,2104.0,50.03,623.0,150.0,238.62,11.04,33.09,29.77,8.5
2015.0,181.51,1116.0,1.39,3217.0,209.53,1294.0,2.08,2803.0,232.63,1229.0,44.66,588.0,141.0,165.1,13.34,33.09,29.77,5.5
2016.0,191.83,2187.0,1.01,2631.0,214.28,2265.0,1.58,2481.0,245.1,2054.0,46.5,46.5,149.0,197.68,16.68,32.91,31.04,5.0
2017.0,187.44,2095.0,0.92,2618.0,211.77,461.49,1.46,2486.0,238.59,1998.0,44.76,595.0,139.0,206.86,12.28,33.2,30.45,5.5
2018.0,160.12,2285.0,0.57,2685.0,183.18,433.23,1.09,2468.0,206.35,2169.0,45.01,581.0,141.0,277.28,10.12,32.97,30.71,7.5
2019.0,175.67,2950.0,2.12,3019.0,197.14,2947.0,2.77,2816.0,221.86,2689.0,45.55,683.0,146.0,243.6,20.08,32.94,29.7,9.5
