Year,rice_area_kharif,rice_yield_kharif,rice_area_rabi,rice_yield_rabi,cereals_area_kharif,cereals_yield_kharif,cereals_area_rabi,cereals_yield_rabi,grain_area_kharif,grain_yield_kharif,grain_area_rabi,grain_yield_rabi,intensity,rain_kharif,rain_rabi,Mean_Temp_Kharif,Mean_Temp_Rabi,calamity_severity
2010.0,99.72,1693.0,1.01,2700.0,100.42,1696.0,1.2,2508.0,102.9,1667.0,55.66,507.0,202.0,248.34,23.06,32.63,30.06,6.5
2011.0,95.94,1559.0,0.87,2517.0,96.84,1563.0,1.08,2380.0,99.14,1540.0,30.96,526.0,180.0,193.84,7.78,32.29,30.16,4.5
2012.0,88.62,2284.0,0.92,3082.0,89.31,2282.0,1.09,2917.0,91.85,2234.0,47.22,520.0,192.0,214.86,38.62,32.23,29.96,4.0
2013.0,96.85,767.0,1.5,3631.0,97.63,778.0,1.61,3522.0,100.27,772.0,56.55,558.0,192.0,351.48,1.84,31.79,29.79,9.0
2014.0,101.19,2165.0,1.37,3046.0,2.72,555.0,54.63,475.0,104.72,2123.0,56.1,541.0,185.0,242.56,10.96,32.42,29.51,8.5
2015.0,97.78,1416.0,1.21,2672.0,98.47,1422.0,1.29,2628.0,101.23,1398.0,44.06,537.0,170.0,170.94,11.82,32.42,29.51,5.5
2016.0,94.79,2631.0,0.28,2732.0,95.1,2630.0,0.39,2692.0,97.84,2571.0,46.04,46.04,158.0,213.6,5.74,32.28,30.73,5.0
2017.0,83.6,1615.0,0.42,3155.0,83.85,135.58,0.59,3153.0,86.54,1584.0,49.29,540.0,182.0,273.76,26.68,32.47,30.12,5.5
2018.0,87.91,2179.0,0.25,937.0,88.05,191.86,0.37,1649.0,90.33,2136.0,50.25,515.0,175.0,321.08,3.4,32.39,30.41,7.5
2019.0,88.47,2605.0,0.59,3339.0,88.6,2605.0,0.69,3333.0,90.58,2558.0,38.85,564.0,170.0,316.66,4.62,32.31,29.75,9.5
