Year,rice_area_kharif,rice_yield_kharif,rice_area_rabi,rice_yield_rabi,cereals_area_kharif,cereals_yield_kharif,cereals_area_rabi,cereals_yield_rabi,grain_area_kharif,grain_yield_kharif,grain_area_rabi,grain_yield_rabi,intensity,rain_kharif,rain_rabi,Mean_Temp_Kharif,Mean_Temp_Rabi,calamity_severity
2010.0,114.28,1856.0,20.07,2078.0,212.49,1541.0,22.48,2155.0,227.29,1471.0,48.65,1205.0,155.0,270.18,22.48,31.89,30.52,6.5
2011.0,104.86,1360.0,13.28,2349.0,203.03,1282.0,16.03,2357.0,220.51,1223.0,41.89,1148.0,151.0,211.28,3.56,32.33,30.89,4.5
2012.0,103.07,2019.0,17.51,1961.0,206.4,1637.0,20.51,2047.0,223.62,1547.0,42.4,1244.0,150.0,267.18,21.2,31.79,30.83,4.0
2013.0,111.86,2674.0,20.8,2696.0,212.68,2043.0,23.86,2676.0,229.05,1932.0,45.12,1654.0,147.0,339.58,5.24,31.25,30.53,9.0
2014.0,109.72,1947.0,25.0,2459.0,17.28,480.0,19.77,513.0,225.09,1577.0,47.47,1657.0,152.0,305.56,11.5,32.5,30.18,8.5
2015.0,96.86,1814.0,24.86,2586.0,186.68,1561.0,27.52,2585.0,210.57,1432.0,48.32,1691.0,138.0,270.36,8.44,32.5,30.18,5.5
2016.0,98.52,2445.0,26.47,2845.0,187.89,1921.0,29.42,2906.0,209.18,1774.0,47.13,47.13,130.0,313.9,3.9,31.96,31.53,5.0
2017.0,100.55,2206.0,23.57,2798.0,191.19,338.56,25.74,2842.0,211.62,1652.0,46.26,1829.0,148.0,277.96,7.9,31.83,30.93,5.5
2018.0,104.21,2542.0,28.09,2950.0,196.14,388.62,30.54,2964.0,217.83,1839.0,48.16,2100.0,146.0,312.8,12.64,31.75,30.97,7.5
2019.0,98.06,2855.0,27.57,2973.0,191.83,2068.0,30.28,2982.0,211.75,1927.0,46.55,2155.0,148.0,392.4,5.76,31.82,30.51,9.5
