Year,rice_area_kharif,rice_yield_kharif,rice_area_rabi,rice_yield_rabi,cereals_area_kharif,cereals_yield_kharif,cereals_area_rabi,cereals_yield_rabi,grain_area_kharif,grain_yield_kharif,grain_area_rabi,grain_yield_rabi,intensity,rain_kharif,rain_rabi,Mean_Temp_Kharif,Mean_Temp_Rabi,calamity_severity
2010.0,96.04,2090.0,1.68,2131.0,113.12,2021.0,2.52,2282.0,123.39,1890.0,23.19,705.0,177.0,335.52,19.2,31.72,30.78,6.5
2011.0,93.58,569.0,0.18,1278.0,110.73,742.0,1.02,2392.0,120.82,720.0,3.66,1014.0,164.0,213.52,0.0,32.24,31.07,4.5
2012.0,94.96,1876.0,1.81,1904.0,112.04,1847.0,3.1,2271.0,121.6,1742.0,7.96,1156.0,171.0,332.18,9.32,31.79,31.11,4.0
2013.0,97.97,1745.0,1.08,2318.0,114.59,1735.0,2.34,2615.0,123.88,1643.0,6.91,1187.0,170.0,322.34,5.86,31.0,30.61,9.0
2014.0,102.31,1720.0,0.66,2529.0,9.69,498.0,4.96,456.0,130.05,1619.0,6.9,1112.0,171.0,277.8,10.58,32.73,30.24,8.5
2015.0,95.85,1350.0,3.11,2002.0,113.82,1403.0,4.02,2204.0,123.54,1330.0,7.11,1449.0,154.0,323.36,7.86,32.73,30.24,5.5
2016.0,95.73,1946.0,0.11,2085.0,112.69,1912.0,0.58,3138.0,122.19,1799.0,3.83,3.83,152.0,279.46,2.0,31.84,31.71,5.0
2017.0,97.36,1761.0,2.22,1730.0,114.64,201.48,3.26,2325.0,124.14,1662.0,8.66,1209.0,153.0,335.98,0.36,31.75,31.12,5.5
2018.0,92.35,1886.0,0.41,2093.0,106.38,195.44,2.17,3138.0,114.87,1738.0,14.22,926.0,157.0,426.54,3.32,31.65,31.02,7.5
2019.0,103.57,2228.0,0.68,1779.0,121.81,2171.0,3.71,3100.0,130.66,2057.0,16.55,1098.0,170.0,411.82,1.18,31.9,30.61,9.5
