Year,rice_area_kharif,rice_yield_kharif,rice_area_rabi,rice_yield_rabi,cereals_area_kharif,cereals_yield_kharif,cereals_area_rabi,cereals_yield_rabi,grain_area_kharif,grain_yield_kharif,grain_area_rabi,grain_yield_rabi,intensity,rain_kharif,rain_rabi,Mean_Temp_Kharif,Mean_Temp_Rabi,calamity_severity
2010.0,281.14,918.0,3.49,2063.0,294.58,934.0,5.4,1926.0,326.9,900.0,28.54,784.0,133.0,160.74,9.1,33.17,30.13,6.5
2011.0,295.17,1881.0,4.04,2129.0,310.02,1854.0,6.15,2033.0,344.64,1732.0,32.51,794.0,143.0,277.08,7.58,32.39,29.86,4.5
2012.0,284.96,1721.0,2.37,2305.0,299.15,1712.0,4.36,2222.0,332.79,1598.0,30.16,796.0,137.0,208.52,26.12,33.13,29.36,4.0
2013.0,301.37,1381.0,3.8,2130.0,311.36,1401.0,5.97,2129.0,343.73,1324.0,42.17,769.0,138.0,388.38,3.4,32.12,29.44,9.0
2014.0,312.34,2174.0,3.62,2322.0,33.44,602.0,39.63,546.0,352.74,2020.0,45.35,760.0,139.0,260.54,25.84,32.91,29.02,8.5
2015.0,315.18,975.0,2.85,1993.0,319.03,987.0,3.84,2081.0,348.1,958.0,19.69,848.0,121.0,195.16,16.58,32.91,29.02,5.5
2016.0,303.83,2355.0,2.84,2664.0,309.83,2351.0,4.61,2861.0,342.55,2182.0,36.29,36.29,122.0,232.56,17.24,32.62,30.26,5.0
2017.0,319.86,2018.0,4.23,2425.0,323.56,652.77,5.06,2460.0,368.2,1848.0,40.26,797.0,131.0,240.98,16.84,32.88,29.56,5.5
2018.0,332.27,2015.0,4.45,2462.0,336.32,677.51,5.47,2483.0,381.88,1857.0,38.32,854.0,128.0,263.9,7.48,32.76,29.85,7.5
2019.0,312.59,2202.0,9.25,2837.0,316.49,2192.0,12.06,2920.0,355.22,2017.0,46.95,1177.0,132.0,251.2,30.58,32.76,28.84,9.5
