Year,rice_area_kharif,rice_yield_kharif,rice_area_rabi,rice_yield_rabi,cereals_area_kharif,cereals_yield_kharif,cereals_area_rabi,cereals_yield_rabi,grain_area_kharif,grain_yield_kharif,grain_area_rabi,grain_yield_rabi,intensity,rain_kharif,rain_rabi,Mean_Temp_Kharif,Mean_Temp_Rabi,calamity_severity
2010.0,144.59,1955.0,2.37,2262.0,206.15,2529.0,6.91,3145.0,218.22,2419.0,20.89,1400.0,158.0,381.84,23.26,31.52,30.02,6.5
2011.0,139.81,703.0,0.21,1524.0,202.6,1295.0,4.7,3104.0,213.51,1253.0,16.64,1198.0,157.0,250.28,6.48,31.41,30.2,4.5
2012.0,143.51,2274.0,0.9,2599.0,208.78,2407.0,6.58,3170.0,217.64,2329.0,19.81,1371.0,160.0,306.44,16.92,31.1,30.14,4.0
2013.0,145.83,2869.0,1.0,2872.0,211.92,2983.0,6.58,3357.0,220.14,2890.0,19.19,1466.0,160.0,362.46,0.0,30.49,29.7,9.0
2014.0,146.84,2326.0,0.59,2911.0,8.65,481.0,13.88,482.0,219.67,2509.0,20.14,1397.0,160.0,356.62,8.96,31.71,29.47,8.5
2015.0,136.86,1247.0,0.92,2357.0,178.3,1688.0,7.97,3371.0,191.96,1598.0,22.66,1544.0,144.0,294.36,2.2,31.71,29.47,5.5
2016.0,145.99,2658.0,1.44,2583.0,204.69,2817.0,8.65,3506.0,212.44,2733.0,21.17,21.17,156.0,287.0,11.06,31.45,30.87,5.0
2017.0,123.75,2466.0,1.12,2238.0,183.99,501.51,8.6,3214.0,193.63,2616.0,26.57,1404.0,148.0,285.32,3.28,31.47,30.45,5.5
2018.0,128.4,1214.0,0.59,1836.0,190.47,352.72,10.98,3233.0,199.13,1792.0,28.47,1586.0,151.0,238.16,11.88,31.34,30.56,7.5
2019.0,121.7,3187.0,2.73,2678.0,184.32,3300.0,12.04,3164.0,192.64,3179.0,30.79,1576.0,139.0,309.68,4.74,31.26,29.82,9.5
