Year,rice_area_kharif,rice_yield_kharif,rice_area_rabi,rice_yield_rabi,cereals_area_kharif,cereals_yield_kharif,cereals_area_rabi,cereals_yield_rabi,grain_area_kharif,grain_yield_kharif,grain_area_rabi,grain_yield_rabi,intensity,rain_kharif,rain_rabi,Mean_Temp_Kharif,Mean_Temp_Rabi,calamity_severity
2010.0,94.13,1680.0,0.29,2345.0,99.89,1658.0,0.8,1713.0,110.16,1549.0,70.79,305.0,191.0,242.28,25.96,32.88,30.53,6.5
2011.0,85.48,648.0,0.06,1500.0,91.29,715.0,0.46,1652.0,102.14,665.0,53.87,243.0,172.0,198.92,0.58,31.41,30.2,4.5
2012.0,95.51,2195.0,0.11,2344.0,101.44,2165.0,0.61,1934.0,111.92,1996.0,73.52,432.0,198.0,287.8,44.8,32.43,30.58,4.0
2013.0,101.42,844.0,0.07,1730.0,107.34,901.0,0.61,1852.0,117.77,860.0,72.98,472.0,192.0,378.8,2.16,32.02,30.35,9.0
2014.0,91.01,2100.0,0.61,2067.0,10.34,393.0,72.45,464.0,107.27,1926.0,73.62,488.0,193.0,240.98,23.7,32.68,30.08,8.5
2015.0,90.37,848.0,0.05,1698.0,96.31,916.0,0.39,1821.0,106.65,864.0,55.52,476.0,169.0,182.8,19.16,32.68,30.08,5.5
2016.0,91.68,2285.0,0.01,1577.0,95.79,2256.0,0.52,2673.0,106.13,2073.0,65.13,65.13,172.0,197.56,9.2,32.59,31.34,5.0
2017.0,90.62,1381.0,0.0,0.0,96.55,137.15,0.46,3196.0,106.24,1331.0,72.66,514.0,191.0,213.98,22.12,32.74,30.78,5.5
2018.0,87.48,2395.0,0.0,0.0,94.58,225.48,0.38,3342.0,108.58,2130.0,73.99,515.0,187.0,236.9,9.86,32.58,31.07,7.5
2019.0,86.32,2601.0,0.01,2000.0,93.42,2631.0,0.39,3103.0,107.42,2348.0,74.0,519.0,200.0,289.92,14.6,32.37,30.38,9.5
