Year,rice_area_kharif,rice_yield_kharif,rice_area_rabi,rice_yield_rabi,cereals_area_kharif,cereals_yield_kharif,cereals_area_rabi,cereals_yield_rabi,grain_area_kharif,grain_yield_kharif,grain_area_rabi,grain_yield_rabi,intensity,rain_kharif,rain_rabi,Mean_Temp_Kharif,Mean_Temp_Rabi,calamity_severity
2010.0,120.68,1545.0,32.74,2333.0,120.97,1543.0,32.94,2323.0,120.97,1543.0,99.34,963.0,208.0,236.34,37.92,32.63,30.06,6.5
2011.0,120.35,1232.0,29.99,2640.0,120.65,1231.0,30.21,2630.0,120.65,1231.0,101.02,996.0,216.0,188.28,0.28,32.29,30.16,4.5
2012.0,106.83,2292.0,33.05,3000.0,107.13,2287.0,33.28,2989.0,107.13,2287.0,104.28,1288.0,187.0,213.22,38.48,32.23,29.96,4.0
2013.0,102.54,885.0,32.57,3329.0,102.85,885.0,32.8,3315.0,102.85,885.0,94.93,1464.0,191.0,337.48,0.16,31.79,29.79,9.0
2014.0,99.57,1833.0,31.71,2977.0,0.0,0.0,51.43,492.0,99.87,1830.0,83.33,1440.0,191.0,281.38,7.68,32.42,29.51,8.5
2015.0,105.29,1894.0,26.66,2839.0,105.48,1892.0,26.76,2834.0,105.48,1892.0,85.19,1237.0,183.0,185.54,24.46,32.42,29.51,5.5
2016.0,92.96,2654.0,14.78,3139.0,93.14,2651.0,14.9,3127.0,93.14,2651.0,74.51,74.51,164.0,208.34,14.7,32.28,30.73,5.0
2017.0,85.19,1575.0,16.51,2270.0,85.36,134.46,16.67,2268.0,85.36,1575.0,76.47,884.0,238.0,260.92,38.94,32.47,30.12,5.5
2018.0,88.98,2100.0,31.17,2845.0,89.14,187.14,31.2,2844.0,89.14,2099.0,79.15,1426.0,217.0,348.02,2.26,32.39,30.41,7.5
2019.0,89.81,2266.0,27.84,3085.0,89.97,2265.0,27.87,3085.0,89.97,2265.0,73.23,1486.0,218.0,339.48,5.4,32.31,29.75,9.5
