Year,rice_area_kharif,rice_yield_kharif,rice_area_rabi,rice_yield_rabi,cereals_area_kharif,cereals_yield_kharif,cereals_area_rabi,cereals_yield_rabi,grain_area_kharif,grain_yield_kharif,grain_area_rabi,grain_yield_rabi,intensity,rain_kharif,rain_rabi,Mean_Temp_Kharif,Mean_Temp_Rabi,calamity_severity
2010.0,56.67,2149.0,3.31,1837.0,99.2,1894.0,4.71,1921.0,140.98,1574.0,26.28,786.0,163.0,249.32,24.58,31.72,30.03,6.5
2011.0,58.11,1252.0,1.15,1504.0,98.0,1526.0,3.22,2522.0,137.58,1245.0,21.23,728.0,166.0,194.0,6.14,31.92,30.28,4.5
2012.0,54.46,2118.0,1.43,2165.0,94.0,2008.0,3.46,2743.0,130.06,1678.0,24.5,769.0,176.0,196.18,34.54,31.54,30.28,4.0
2013.0,64.23,2496.0,4.04,2254.0,103.27,2266.0,6.35,2477.0,139.71,1892.0,26.86,934.0,168.0,268.4,2.4,31.18,30.09,9.0
2014.0,59.94,2808.0,4.86,2968.0,36.31,836.0,21.48,460.0,134.08,2032.0,27.97,1024.0,161.0,265.9,13.82,31.95,29.83,8.5
2015.0,50.31,1131.0,1.69,2244.0,88.44,1495.0,3.17,2448.0,128.37,1257.0,13.39,928.0,129.0,189.2,9.9,31.95,29.83,5.5
2016.0,59.46,2349.0,1.93,2279.0,94.78,2125.0,4.06,2857.0,126.75,1760.0,24.47,24.47,147.0,196.34,10.44,31.73,30.99,5.0
2017.0,50.86,2394.0,2.05,2773.0,86.22,181.24,3.42,2863.0,117.46,1731.0,27.13,808.0,140.0,245.98,15.26,31.82,30.46,5.5
2018.0,47.17,2520.0,3.1,3026.0,76.72,168.08,4.35,2986.0,105.38,1816.0,18.53,1111.0,138.0,251.98,12.62,31.72,30.67,7.5
2019.0,53.74,3274.0,3.31,3553.0,81.25,2766.0,4.35,3437.0,110.15,2265.0,21.62,1107.0,152.0,252.42,3.9,31.59,30.25,9.5
