Year,rice_area_kharif,rice_yield_kharif,rice_area_rabi,rice_yield_rabi,cereals_area_kharif,cereals_yield_kharif,cereals_area_rabi,cereals_yield_rabi,grain_area_kharif,grain_yield_kharif,grain_area_rabi,grain_yield_rabi,intensity,rain_kharif,rain_rabi,Mean_Temp_Kharif,Mean_Temp_Rabi,calamity_severity
2010.0,130.3,1082.0,22.43,3731.0,131.5,1089.0,23.38,3645.0,167.59,963.0,39.82,2305.0,158.0,182.44,8.98,33.2,29.95,6.5
2011.0,118.69,1498.0,18.0,3916.0,123.64,1514.0,19.05,3811.0,160.16,1284.0,35.36,2243.0,152.0,314.16,1.7,32.14,30.0,4.5
2012.0,119.9,2878.0,18.73,3803.0,124.96,2840.0,19.88,3685.0,160.45,2328.0,36.41,2235.0,154.0,347.34,28.46,32.37,29.32,4.0
2013.0,140.17,1623.0,22.29,4263.0,145.43,1649.0,23.47,4138.0,173.45,1467.0,40.33,2615.0,153.0,273.48,2.88,31.69,29.36,9.0
2014.0,150.38,2210.0,23.69,3848.0,37.38,513.0,17.16,497.0,193.29,1885.0,41.74,2429.0,162.0,334.02,7.68,32.66,29.01,8.5
2015.0,140.19,901.0,7.62,3784.0,145.78,957.0,8.08,3684.0,174.04,886.0,23.59,1583.0,138.0,250.12,7.74,32.66,29.01,5.5
2016.0,149.79,1778.0,10.27,3950.0,154.46,1796.0,10.79,3903.0,190.28,1547.0,26.06,26.06,154.0,225.3,4.48,32.47,30.57,5.0
2017.0,129.46,923.0,7.92,4036.0,133.29,128.46,8.31,3982.0,168.48,867.0,29.71,1492.0,140.0,237.72,7.54,32.75,30.18,5.5
2018.0,124.23,775.0,11.11,4482.0,128.21,107.34,11.57,4424.0,161.5,770.0,26.84,2207.0,140.0,282.62,18.88,32.44,30.33,7.5
2019.0,116.47,2527.0,11.56,3509.0,120.42,2521.0,11.98,3492.0,154.49,2084.0,27.05,1843.0,138.0,287.8,11.46,32.45,29.25,9.5
