Year,rice_area_kharif,rice_yield_kharif,rice_area_rabi,rice_yield_rabi,cereals_area_kharif,cereals_yield_kharif,cereals_area_rabi,cereals_yield_rabi,grain_area_kharif,grain_yield_kharif,grain_area_rabi,grain_yield_rabi,intensity,rain_kharif,rain_rabi,Mean_Temp_Kharif,Mean_Temp_Rabi,calamity_severity
2010.0,100.44,2197.0,27.46,3369.0,100.71,2194.0,28.15,3334.0,115.81,1982.0,54.75,1948.0,174.0,188.6,12.1,33.21,30.71,6.5
2011.0,100.92,1528.0,30.7,4415.0,102.19,1527.0,31.55,4360.0,124.12,1362.0,55.66,2688.0,191.0,184.4,1.34,32.59,30.85,4.5
2012.0,101.5,4409.0,31.33,3607.0,102.64,4378.0,31.91,3582.0,124.14,3723.0,56.21,2220.0,181.0,263.62,12.7,32.51,30.49,4.0
2013.0,109.15,2842.0,27.59,3964.0,110.27,2832.0,28.2,3928.0,126.14,2550.0,57.07,2161.0,190.0,249.04,2.88,31.97,30.37,9.0
2014.0,101.23,3219.0,27.4,3885.0,17.73,579.0,31.52,439.0,119.33,2822.0,59.35,2043.0,176.0,354.72,8.14,32.8,30.02,8.5
2015.0,102.77,2117.0,28.74,3933.0,103.08,2116.0,28.96,3921.0,120.41,1894.0,54.0,2304.0,169.0,186.14,3.28,32.8,30.02,5.5
2016.0,103.81,3067.0,30.79,4166.0,104.1,3064.0,31.13,4148.0,118.98,2759.0,60.78,60.78,175.0,213.52,4.74,32.71,31.47,5.0
2017.0,95.27,1849.0,32.85,3785.0,95.54,176.76,33.36,3774.0,108.03,1714.0,70.1,2061.0,176.0,220.58,1.16,32.92,31.11,5.5
2018.0,105.33,2576.0,35.48,4341.0,106.17,273.21,35.91,4321.0,120.69,2340.0,68.01,2523.0,182.0,283.6,18.36,32.66,31.24,7.5
2019.0,113.49,3101.0,38.2,4101.0,114.27,3095.0,38.6,4089.0,128.63,2820.0,71.32,2450.0,195.0,318.72,12.68,32.51,30.46,9.5
