Year,rice_area_kharif,rice_yield_kharif,rice_area_rabi,rice_yield_rabi,cereals_area_kharif,cereals_yield_kharif,cereals_area_rabi,cereals_yield_rabi,grain_area_kharif,grain_yield_kharif,grain_area_rabi,grain_yield_rabi,intensity,rain_kharif,rain_rabi,Mean_Temp_Kharif,Mean_Temp_Rabi,calamity_severity
2010.0,211.33,660.0,0.49,1429.0,222.57,682.0,2.75,1964.0,259.97,668.0,30.27,680.0,135.0,169.94,11.14,33.2,29.95,6.5
2011.0,191.57,1792.0,1.77,1989.0,205.16,1754.0,3.93,2056.0,241.9,1576.0,30.87,742.0,130.0,290.48,4.84,32.14,30.0,4.5
2012.0,203.12,2324.0,1.31,1875.0,215.75,2267.0,3.55,1854.0,252.04,2022.0,31.22,595.0,137.0,263.92,20.16,32.37,29.32,4.0
2013.0,208.56,1950.0,2.47,2086.0,220.64,1938.0,4.64,1963.0,256.53,1748.0,34.92,661.0,136.0,273.34,3.6,31.69,29.36,9.0
2014.0,195.03,2536.0,0.8,2282.0,35.84,583.0,30.18,461.0,243.6,2205.0,32.72,579.0,140.0,239.88,14.02,32.66,29.01,8.5
2015.0,194.19,1171.0,0.45,1701.0,206.23,1208.0,1.55,1871.0,244.72,1106.0,35.8,518.0,133.0,234.42,6.6,32.66,29.01,5.5
2016.0,207.65,1696.0,0.09,1474.0,219.76,1708.0,1.45,2028.0,256.32,1546.0,37.42,37.42,135.0,198.5,7.24,32.47,30.57,5.0
2017.0,198.8,1759.0,0.16,1674.0,213.17,375.08,1.04,2462.0,250.14,1585.0,31.78,588.0,131.0,246.78,1.4,32.75,30.18,5.5
2018.0,184.02,1181.0,0.24,2204.0,199.79,244.65,0.96,2469.0,235.29,1133.0,39.67,565.0,136.0,215.94,17.54,32.44,30.33,7.5
2019.0,191.86,1738.0,1.04,1375.0,207.52,1738.0,2.34,1966.0,238.52,1590.0,42.14,587.0,140.0,251.9,16.28,32.45,29.25,9.5
